模块名称,功能名称,子功能名称,功能说明
统一门户与仪表盘,个人工作台,我的待办,汇总待处理预警、工单、整改任务；支持一键跳转与批量操作
统一门户与仪表盘,个人工作台,我的预警,汇总与本人权限相关的预警，支持筛选、订阅、标记已读/忽略
统一门户与仪表盘,个人工作台,常用入口,自定义常用功能与布局，快速进入高频页面
统一门户与仪表盘,监督指挥大屏,全校监督态势,总览预警量、问题类型占比、单位风险排名、趋势对比
统一门户与仪表盘,监督指挥大屏,整改进度看板,展示按部门/问题类型的整改完成率、超期与复查情况
统一门户与仪表盘,风险地图与看板,风险热力图,基于组织、业务域的风险分布可视化，支持下钻
统一门户与仪表盘,风险地图与看板,指标趋势,三公、预算执行、采购合规等核心指标趋势与环比/同比
统一门户与仪表盘,通知公告与消息,预警消息中心,统一收取预警推送、工单提醒、系统通知，支持订阅管理
统一门户与仪表盘,通知公告与消息,公告发布,发布/置顶/下架公告，按角色、单位定向推送
统一门户与仪表盘,全局搜索,跨库搜索,一站式检索线索、预警、项目、合同、人员、票据等
统一门户与仪表盘,全局搜索,高级筛选,条件检索、结果保存、导出与访问留痕
线索管理与闭环处置,线索库,线索汇聚,预警自动入库与人工录入，支持来源/主题/风险等级标签
线索管理与闭环处置,线索库,线索去重与合并,基于对象/时间/相似度聚类，支持并案、串案管理
线索管理与闭环处置,预警处置中心,分发与签收,按职责/权限自动或手动分发预警，签收回执与追踪
线索管理与闭环处置,预警处置中心,分级与SLA,高/中/低分级处置时限、超时预警与升级策略
线索管理与闭环处置,工单与协同核查,组建核查组,跨部门建组，配置角色与保密级别
线索管理与闭环处置,工单与协同核查,任务分解与流转,子任务拆解、流转会商、在线讨论全程留痕
线索管理与闭环处置,取证材料库,证据上传/OCR,票据/合同/纪要等材料上传，自动OCR与字段抽取
线索管理与闭环处置,取证材料库,证据链关联,证据与线索/规则/对象的多维关联与防篡改水印
线索管理与闭环处置,核查与报告,核查记录,过程记录、谈话笔录、现场照片等规范化留痕
线索管理与闭环处置,核查与报告,报告模板中心,纪检/审计报告模板库，自动汇入事实、证据与结论
线索管理与闭环处置,整改管理,整改计划,制定责任人、措施、时限、量化指标
线索管理与闭环处置,整改管理,进度跟踪与销号,跟踪整改进度、上传佐证、复查与销号归档
线索管理与闭环处置,模型优化反馈,误报标注,对误报/漏报打标签并沉淀训练样本
线索管理与闭环处置,模型优化反馈,规则调优建议,自动生成阈值/特征优化建议，一键回测与对比
纪检监督检查,第一议题制度落实监督,会议纪要NLP分析,对会议纪要进行文本分析，核查第一议题落实情况
纪检监督检查,第一议题制度落实监督,学习频次统计,统计各单位相关学习次数与覆盖率，生成排名
纪检监督检查,第一议题制度落实监督,异常单位清单,输出疑似未落实或落实不到位单位清单
纪检监督检查,学校重大决策执行跟踪,任务进度成果关联,构建任务、进度、成果关联模型，跟踪落实
纪检监督检查,学校重大决策执行跟踪,进度偏差监控,对比计划与实际，识别严重滞后与未达标
纪检监督检查,学校重大决策执行跟踪,红黄灯预警配置,配置阈值规则，自动标注红黄绿灯状态
纪检监督检查,招生录取监督,低分高录检测,识别低于投档线但被录取个案并核查审批流程
纪检监督检查,招生录取监督,操作日志异常监控,监控非工作时间、高频、定向修改等异常操作
纪检监督检查,招生录取监督,教职工或亲属关联比对,录取信息与教职工库比对，排查内部照顾风险
纪检监督检查,科研经费使用监督,连号发票与同商户报销识别,识别同日同商户连号发票与大额集中报销
纪检监督检查,科研经费使用监督,预算执行偏离度分析,对比预算与实际结构，预警严重超支或结余
纪检监督检查,科研经费使用监督,设备重复采购与闲置分析,核查重复购置与使用率，预警资源浪费
纪检监督检查,基建与采购项目监督,论证环节监督,核查参会人员专业性与安排合理性，识别倾向性
纪检监督检查,基建与采购项目监督,立项环节复核,排查重复建设与资料不足等问题
纪检监督检查,基建与采购项目监督,需求倾向性识别,识别需求阶段的内定或明显倾向性
纪检监督检查,基建与采购项目监督,公告公示核验,核验校内网站与省平台公告发布合规性
纪检监督检查,基建与采购项目监督,专家抽取合规性检查,审查校内外专家抽取过程与参与范围合规性
纪检监督检查,基建与采购项目监督,评标投诉与质疑处理跟踪,跟踪投诉与质疑受理与处理结果
纪检监督检查,基建与采购项目监督,招标结果与合同一致性检查,比对中标结果与合同核心条款一致性
纪检监督检查,基建与采购项目监督,投标人关联分析,法人、股东、联系方式等多维关联识别围串标
纪检监督检查,基建与采购项目监督,招标文件排他性条款识别,NLP识别技术参数指向特定品牌的排他条款
纪检监督检查,基建与采购项目监督,工程变更与支付异常监控,监控重大变更审批与付款超进度风险
纪检监督检查,财务管理与专项资金监督,三公经费预算红线监控,设定预算红线并实时监控支出进度
纪检监督检查,财务管理与专项资金监督,小金库线索筛查,识别虚报项目、虚开发票、违规收费等线索
纪检监督检查,财务管理与专项资金监督,专项资金挪用检测,追踪专项经费流向，识别违规使用
纪检监督检查,八项规定落实监督,隐蔽吃喝识别,识别非商业区、节假日、工作日中午餐饮报销异常
纪检监督检查,八项规定落实监督,公车运行轨迹异常,比对审批单与GPS轨迹，识别未经审批路线
纪检监督检查,八项规定落实监督,礼品票据敏感词筛查,筛查礼品、购物卡、土特产等敏感票据
纪检监督检查,领导干部兼职与经商办企业监督,干部与家属工商比对,与工商注册信息自动比对未报备兼职经商
纪检监督检查,领导干部兼职与经商办企业监督,未报备兼职预警,发现未报备兼职或取酬行为并预警
纪检监督检查,师德师风与学术不端监督,成绩集中修改异常,监控教师大量集中修改成绩操作
纪检监督检查,师德师风与学术不端监督,导师研究生负面关联分析,结合投诉数据识别持续负面关系
纪检监督检查,师德师风与学术不端监督,学术重复与图像复用预警,对接查重工具识别高重复与图像复用
纪检监督检查,三重一大决策执行监督,事项自动识别,自动识别重大事项并归集相关材料
纪检监督检查,三重一大决策执行监督,会议纪要匹配校验,校验事项是否出现在应有会议纪要中
纪检监督检查,三重一大决策执行监督,决策过程完整性检查,核查集体决策流程记录是否完备
纪检监督检查,信息公开与信访处理监督,应公开未公开识别,对比目录与实际发布，识别未公开信息
纪检监督检查,信息公开与信访处理监督,信访办理超期预警,监控受理、转办、反馈时限，超期预警
纪检监督检查,信息公开与信访处理监督,信访全流程留痕,记录信访处理过程与责任到人
审计监督检查,预算执行进度与合规监控,超预算与无预算支出预警,实时预警超预算或无预算支出
审计监督检查,预算执行进度与合规监控,异常报销检测,识别大额、高频、非工作时间报销等异常
审计监督检查,预算执行进度与合规监控,预算与记账科目一致性检查,校验预算科目与记账科目匹配
审计监督检查,科研经费使用合规性审计,设备与材料入账核查,科研经费购置设备入库与材料采购合规
审计监督检查,科研经费使用合规性审计,人员费用合理性检查,核查劳务费、咨询费发放标准与身份合规
